,primarytitle,startyear,runtimeminutes,genres,ordering,category,averagerating,numvotes,primaryname,y_pred
10690,Homecoming,2005,90,Drama,1,actor,6.0,10,Mark Cabus,1
10691,Homecoming,2005,90,Drama,2,actress,6.0,10,Margot Jones,1
10717,The Trial,2007,90,Drama,1,actor,4.0,169,Iraj Ghaderi,4
10718,The Trial,2007,90,Drama,2,actress,4.0,169,Mahnaz Afshar,4
10739,Dusk,2008,99,Horror,1,actress,6.1,21,Laura Bailey,1
10740,Dusk,2008,99,Horror,2,actor,6.1,21,Eduardo DeLeon,4
10745,Circles,2005,112,Drama,1,actor,4.3,46,Archie de Calma,4
10746,Circles,2005,112,Drama,2,actor,4.3,46,Rudolph Segundo,4
10765,Morning,2010,86,Drama,1,actor,7.8,61,Andrew Ramaglia,1
10766,Morning,2010,86,Drama,2,actress,7.8,61,Emily Cline,1
10793,Lucky,2020,90,Comedy,1,actor,4.6,358,Michaël Youn,0
10794,Lucky,2020,90,Comedy,2,actor,4.6,358,Alban Ivanov,0
10797,Ghost Light,2020,70,Thriller,1,actor,4.9,109,Will Rothhaar,0
10798,Ghost Light,2020,70,Thriller,2,actor,4.9,109,Sallieu Sesay,0
10801,The Weekend,2007,99,Comedy,1,actor,3.2,652,Beau Allulli,4
10802,The Weekend,2007,99,Comedy,2,actor,3.2,652,Daniel Bartkewicz,4
10883,Jesus,2020,130,Drama,1,director,4.3,320,Aude Thuries,3
10914,Ellipsis,2019,87,Drama,1,actor,4.7,8,Mitchell Steven Blankman,0
10915,Ellipsis,2019,87,Drama,2,actress,4.7,8,Danielle Adkins,0
10942,Alice,2022,100,Drama,1,actress,5.3,302,Keke Palmer,5
10943,Alice,2022,100,Drama,2,actor,5.3,302,Common,7
10946,Sister,2019,97,Drama,1,actress,6.5,273,Monika Naydenova,5
10947,Sister,2019,97,Drama,2,actress,6.5,273,Svetlana Yancheva,5
10992,Eva,2010,111,Drama,1,actor,5.0,411,Vincent Regan,4
10993,Eva,2010,111,Drama,2,actress,5.0,411,Amy Beth Hayes,4
11007,The Heiress,2019,106,Horror,1,actress,5.1,69,Maricel Soriano,0
11008,The Heiress,2019,106,Horror,2,actress,5.1,69,Janella Salvador,0
11033,Dog,2009,90,Horror,1,actress,4.6,72,Michelle Page,4
11034,Dog,2009,90,Horror,2,actor,4.6,72,Jeremy Gladen,4
11043,The Will,2020,105,Romance,1,actress,6.2,654,Megan Dodds,5
11044,The Will,2020,105,Romance,2,actor,6.2,654,Chris McKenna,7
11063,Fortitude,2020,108,Drama,1,actor,6.2,123,Jorge Thielen Hedderich,7
11064,Fortitude,2020,108,Drama,2,actor,6.2,123,Juan Luis Escriban Lott,7
11084,Beautiful,2020,123,Drama,1,actor,7.2,34,K K Binojee,3
11085,Beautiful,2020,123,Drama,2,actress,7.2,34,Naina Ganguly,3
11119,Stash,2007,97,Horror,1,actress,2.9,328,Karen Boles,4
11120,Stash,2007,97,Horror,2,actor,2.9,328,Nathan Day,4
11123,Crossroads,2006,102,Drama,1,actress,5.9,550,Fatemah Motamed-Aria,1
11124,Crossroads,2006,102,Drama,2,actor,5.9,550,Bahram Radan,1
11149,The Cult,2019,76,Horror,1,actress,3.3,15,Hannah Gilbert,0
11150,The Cult,2019,76,Horror,2,actor,3.3,15,Brian Mack,0
11159,Heartbeat,2020,73,Thriller,1,actress,5.1,1747,Nicole D'Angelo,0
11160,Heartbeat,2020,73,Thriller,2,actor,5.1,1747,Chris Spinelli,0
11209,The Pit,2020,107,Drama,1,actor,7.4,474,Damir Onackis,7
11210,The Pit,2020,107,Drama,2,actress,7.4,474,Dace Eversa,5
11219,Invitation,2019,85,Drama,1,actress,6.2,27,Chandra Dewan,5
11220,Invitation,2019,85,Drama,2,actor,6.2,27,Pravesh Gurung,7
11255,House Arrest,2019,104,Comedy,1,actor,5.4,1622,Ali Fazal,7
11256,House Arrest,2019,104,Comedy,2,actress,5.4,1622,Shriya Pilgaonkar,5
11275,Breathe,2009,86,Drama,1,actor,4.3,90,Ewan Alman,4
11276,Breathe,2009,86,Drama,2,actor,4.3,90,David Anderson,4
11307,The Butcher,2019,75,Horror,1,actor,5.5,58,Michael Moutsatsos,0
11308,The Butcher,2019,75,Horror,2,actress,5.5,58,Maria Olsen,0
11333,Maneater,2007,90,Comedy,1,actress,5.5,20,Robyn Helton,4
11334,Maneater,2007,90,Comedy,2,actress,5.5,20,Ingrid Olson,4
11369,Maggots,2019,76,Horror,1,actor,4.8,18,James Balsamo,0
11370,Maggots,2019,76,Horror,2,actor,4.8,18,Cal Corvino,0
11378,Hatched,2021,80,Adventure,1,actress,4.8,446,Megan Purvis,0
11379,Hatched,2021,80,Adventure,2,actress,4.8,446,Nicola Wright,0
11402,Betrayal,2021,90,Drama,1,actor,5.2,8,Aki Avni,7
11403,Betrayal,2021,90,Drama,2,actress,5.2,8,Ann Konopny,5
11404,Days,2007,98,Drama,1,actor,6.0,6,Sam Beech,1
11405,Days,2007,98,Drama,2,actress,6.0,6,Faye Bellass,1
11436,Dog,2022,101,Comedy,1,actor,6.5,13801,Channing Tatum,7
11437,Dog,2022,101,Comedy,2,actor,6.5,13801,Ryder McLaughlin,7
11438,First Love,2021,119,Mystery,1,actor,6.0,137,Hôshi Ishida,3
11439,First Love,2021,119,Mystery,2,actor,6.0,137,Itsuji Itao,3
11458,Metamorphosis,2019,98,Drama,1,actor,7.0,50,Gold Azeron,7
11459,Metamorphosis,2019,98,Drama,2,actress,7.0,50,Iana Bernardez,5
11505,Blood,2022,111,Drama,1,actress,6.2,41,Carla Juri,5
11506,Blood,2022,111,Drama,2,actor,6.2,41,Takashi Ueno,3
11507,The Farm,2021,110,Thriller,1,actress,7.2,9,Traci Lords,3
11508,The Farm,2021,110,Thriller,2,actor,7.2,9,Frankie Wolf,3
11686,What Goes Around,2020,78,Horror,1,actress,3.7,156,Catherine Morvell,0
11687,What Goes Around,2020,78,Horror,2,actor,3.7,156,Jesse Bouma,0
11772,High Tide,2020,103,Drama,1,actress,5.3,275,Gloria Carrá,5
11773,High Tide,2020,103,Drama,2,actor,5.3,275,Jorge Sesán,7
11786,One for the Road,2009,90,Drama,1,actress,6.2,242,María de los Ángeles Ayuso,5
11787,One for the Road,2009,90,Drama,2,actor,6.2,242,Antonio Bassols,1
11921,Blue,2009,98,Drama,1,actor,7.5,91,Don Wallace,1
11922,Blue,2009,98,Drama,2,actor,7.5,91,Keith David,1
11969,One for the Road,2021,128,Drama,1,actor,7.4,438,Thanapob Leeratanakachorn,3
11970,One for the Road,2021,128,Drama,2,actor,7.4,438,Ice Natara,3
11979,Goliath,2008,80,Comedy,1,actor,5.2,423,David Zellner,4
11980,Goliath,2008,80,Comedy,2,actor,5.2,423,Nathan Zellner,4
12044,Blue Eyes,2021,86,Thriller,1,actress,5.1,44,Valeria Golino,0
12045,Blue Eyes,2021,86,Thriller,2,actor,5.1,44,Jean-Hugues Anglade,0
12146,Hello Goodbye,2008,99,Comedy,1,actress,5.2,448,Fanny Ardant,4
12147,Hello Goodbye,2008,99,Comedy,2,actor,5.2,448,Gérard Depardieu,4
12172,The Sanctuary,2009,87,Action,1,actor,4.2,247,Michael B.,4
12173,The Sanctuary,2009,87,Action,2,actor,4.2,247,Russell Wong,4
12178,"Sorry, Thanks",2009,93,Comedy,1,actor,4.5,260,Wiley Wiggins,4
12179,"Sorry, Thanks",2009,93,Comedy,2,actress,4.5,260,Kenya Miles,4
12186,Way Back Home,2019,114,Drama,1,actress,7.0,27,Woo-yun Han,3
12187,Way Back Home,2019,114,Drama,2,actress,7.0,27,Yeom Hye-ran,3
12229,Choked,2020,114,Drama,1,actress,5.7,5322,Saiyami Kher,3
12230,Choked,2020,114,Drama,2,actor,5.7,5322,Roshan Mathew,3
12253,A Moment of Happiness,2020,86,Comedy,1,actor,5.8,23,Fong Chan,7
12254,A Moment of Happiness,2020,86,Comedy,2,actress,5.8,23,Min Chen Lin,5
12267,Sweet Thing,2020,91,Drama,1,actress,7.0,1095,Lana Rockwell,5
12268,Sweet Thing,2020,91,Drama,2,actor,7.0,1095,Nico Rockwell,7
12271,Home Sweet Home,2008,100,Comedy,1,actress,5.4,97,Judith Godrèche,4
12272,Home Sweet Home,2008,100,Comedy,2,actor,5.4,97,Patrick Chesnais,4
12277,Full Circle,2007,120,Action,1,actor,3.2,21,June Daguiso,4
12278,Full Circle,2007,120,Action,2,actor,3.2,21,Al Ghanekar,4
12299,Days,2020,127,Drama,1,actor,6.6,1463,Kang-sheng Lee,3
12300,Days,2020,127,Drama,2,actor,6.6,1463,Anong Houngheuangsy,3
12307,Summer,2007,82,Drama,1,actress,5.8,12,Elisa Jentsch,1
12308,Summer,2007,82,Drama,2,actor,5.8,12,Fabian Ranglack,1
12333,The Other One,2008,97,Drama,1,actress,6.3,230,Dominique Blanc,1
12334,The Other One,2008,97,Drama,2,actor,6.3,230,Peter Bonke,1
12359,Cycle,2021,127,Comedy,1,actress,9.1,628,Punarnavi Bhupalam,3
12360,Cycle,2021,127,Comedy,2,actor,9.1,628,Mahat Raghavendra,3
12375,Beautiful,2008,88,Drama,1,actress,6.5,991,Su-yeon Cha,1
12376,Beautiful,2008,88,Drama,2,actor,6.5,991,Cheon-hee Lee,1
12381,Trigger,2020,99,Drama,1,actress,5.1,16,Elena Chekmazova,5
12382,Trigger,2020,99,Drama,2,actor,5.1,16,Aleksey Maslodudov,7
12419,Sweet Thing,2008,80,Drama,1,actor,8.2,20,Leon Cohen,1
12420,Sweet Thing,2008,80,Drama,2,actress,8.2,20,Jennipher Foster,1
12471,Evergreen,2020,96,Drama,1,actress,5.5,119,Hannah Leigh,5
12472,Evergreen,2020,96,Drama,2,actor,5.5,119,Scott Keiji Takeda,7
12473,Red,2020,123,Drama,1,actress,6.3,185,Kaho,3
12474,Red,2020,123,Drama,2,actor,6.3,185,Tasuku Emoto,3
12553,Till Death,2021,88,Thriller,1,actress,5.8,18510,Megan Fox,5
12554,Till Death,2021,88,Thriller,2,actor,5.8,18510,Eoin Macken,7
12626,The Girl on the Train,2009,97,Drama,1,actress,6.0,1585,Émilie Dequenne,5
12627,The Girl on the Train,2009,97,Drama,2,actress,6.0,1585,Catherine Deneuve,5
12630,Angel,2008,108,Drama,1,actress,2.7,598,Helena Bergström,4
12631,Angel,2008,108,Drama,2,actor,2.7,598,Rolf Lassgård,4
12652,Eureka,2020,122,Action,1,actor,6.8,75,Kartik Anand,3
12653,Eureka,2020,122,Action,2,actress,6.8,75,Shalini Vadnikatti,3
12656,Island,2011,102,Drama,1,actress,5.7,525,Natalie Press,5
12657,Island,2011,102,Drama,2,actor,5.7,525,Colin Morgan,7
12662,The Hanged Man,2007,88,Thriller,1,actor,3.7,156,Adam Hatley,4
12663,The Hanged Man,2007,88,Thriller,2,actor,3.7,156,Thomas Anthony Jones,4
12720,Godforsaken,2020,76,Horror,1,actor,5.8,39,Chad Tailor,0
12721,Godforsaken,2020,76,Horror,2,actress,5.8,39,Mélie B. Rondeau,5
12740,Security,2021,118,Thriller,1,actor,4.9,1915,Marco D'Amore,3
12741,Security,2021,118,Thriller,2,actress,4.9,1915,Maya Sansa,3
12756,7 Minutes,2020,78,Drama,1,actor,5.0,162,Antoine Herbez,0
12757,7 Minutes,2020,78,Drama,2,actor,5.0,162,Clément Naline,0
12760,Faith,2008,96,Comedy,1,actress,7.9,8,Alissa Anderegg,1
12761,Faith,2008,96,Comedy,2,actor,7.9,8,Thomas Bluhm,1
12776,Winter,2020,76,Drama,1,actor,5.2,2674,Nikita Abdulov,7
12777,Winter,2020,76,Drama,2,actor,5.2,2674,Aleksandr Ablyazov,7
12790,Look at Me,2008,100,Drama,1,actress,4.1,106,Olga Pakalovic,4
12791,Look at Me,2008,100,Drama,2,actor,4.1,106,Branimir Popovic,4
12830,Reunion,2009,90,Drama,1,actor,4.6,112,Derek Cecil,4
12831,Reunion,2009,90,Drama,2,actor,4.6,112,Sam Coppola,4
12845,The Door,2012,97,Drama,1,actress,6.5,2081,Helen Mirren,5
12846,The Door,2012,97,Drama,2,actress,6.5,2081,Martina Gedeck,5
12847,Special Correspondents,2009,93,Comedy,1,actor,5.3,754,Gérard Lanvin,4
12848,Special Correspondents,2009,93,Comedy,2,actress,5.3,754,Anne Marivin,4
12849,Unspoken,2008,90,Drama,1,actress,5.9,262,Déborah Amsens,1
12850,Unspoken,2008,90,Drama,2,actress,5.9,262,Emmanuelle Devos,1
12859,Underground,2020,97,Drama,1,actor,7.1,243,Joakim Robillard,7
12860,Underground,2020,97,Drama,2,actor,7.1,243,Jean-François Boudreau,7
12863,Stalker,2020,86,Thriller,1,actress,5.5,481,Christine Ko,0
12864,Stalker,2020,86,Thriller,2,actor,5.5,481,Vincent Van Horn,0
12867,Vengeance,2020,74,Crime,1,actor,3.7,726,Leslie Grantham,0
12868,Vengeance,2020,74,Crime,2,actor,3.7,726,Noel Brendan Mcalley,0
12869,Daybreak,2008,75,Romance,1,actor,4.6,162,Coco Martin,4
12870,Daybreak,2008,75,Romance,2,actor,4.6,162,Paolo Rivero,4
12890,Infliction,2019,71,Thriller,1,actor,6.7,13,Alexandria Pascucci,7
12891,Infliction,2019,71,Thriller,2,actress,6.7,13,Melissa Pascucci,5
12892,Daughters,2020,105,Drama,1,actress,6.6,159,Ayaka Miyoshi,5
12893,Daughters,2020,105,Drama,2,actress,6.6,159,Junko Abe,5
13028,Love Me,2020,78,Comedy,1,actress,7.1,17,Shari K. Green,5
13029,Love Me,2020,78,Comedy,2,actor,7.1,17,Tim Helmstadter,7
13034,Playing with Fire,2008,86,Thriller,1,actress,3.6,192,Kelly Albanese,4
13035,Playing with Fire,2008,86,Thriller,2,actress,3.6,192,Susan Anton,4
13074,They,2019,102,Drama,1,actress,5.3,25,Shabnam Moghadami,5
13075,They,2019,102,Drama,2,actress,5.3,25,Hoda Zeinolabedin,5
13156,Ghosts,2020,90,Drama,1,actress,6.0,916,Dilayda Günes,5
13157,Ghosts,2020,90,Drama,2,actress,6.0,916,Beril Kayar,5
13192,Youth,2018,86,Drama,1,actress,6.5,64,Amina Mohamed Ali,5
13193,Youth,2018,86,Drama,2,actress,6.5,64,Tousmo Mouhoumed Mohamed,5
13225,Prank,2008,100,Horror,1,actor,5.2,164,Edward Bell,4
13226,Prank,2008,100,Horror,2,actor,5.2,164,Shaun Benson,4
13337,Dead Air,2021,90,Mystery,1,actor,4.1,75,Kevin Hicks,0
13338,Dead Air,2021,90,Mystery,2,actress,4.1,75,Vickie Hicks,0
13408,Not Fade Away,2012,117,Drama,1,actor,6.0,4656,John Magaro,3
13409,Not Fade Away,2012,117,Drama,2,actor,6.0,4656,Jack Huston,3
13496,Drones,2010,98,Comedy,1,actor,6.3,524,Jonathan M. Woodward,7
13497,Drones,2010,98,Comedy,2,actor,6.3,524,Samm Levine,7
13544,Rage,2009,98,Drama,1,actor,4.6,1080,Simon Abkarian,4
13545,Rage,2009,98,Drama,2,actor,4.6,1080,Patrick J. Adams,4
13577,In Your Hands,2010,81,Drama,1,actress,5.4,772,Kristin Scott Thomas,5
13578,In Your Hands,2010,81,Drama,2,actor,5.4,772,Pio Marmaï,4
13597,Blueprint,2007,75,Drama,1,actress,6.1,8,Kisha Asiedu,1
13598,Blueprint,2007,75,Drama,2,actor,6.1,8,Wayne Preston Chambers,1
13631,Screwdriver,2020,70,Horror,1,actor,3.3,37,Ethan Bouldin,0
13632,Screwdriver,2020,70,Horror,2,actor,3.3,37,Chuck Conry,0
13663,Sacrifice,2019,77,Drama,1,actor,5.1,60,Yuzu Aoki,7
13664,Sacrifice,2019,77,Drama,2,actress,5.1,60,Michiko Gomi,5
13691,Schism,2008,90,Horror,1,actress,6.6,42,Lynn Lowry,1
13692,Schism,2008,90,Horror,2,actor,6.6,42,Robert Youngren,1
13701,The Special,2020,95,Drama,1,actor,7.3,10,Greyber Rengifo,7
13702,The Special,2020,95,Drama,2,actor,7.3,10,Ruper Vásquez,7
13735,100,2008,116,Drama,1,actress,8.1,58,Mylene Dizon,1
13736,100,2008,116,Drama,2,actress,8.1,58,Eugene Domingo,1
13743,Audition,2021,75,Drama,1,actor,5.1,118,Romilly Carboni,0
13744,Audition,2021,75,Drama,2,actress,5.1,118,Rose Galbraith,5
13755,Mentor,2020,96,Comedy,1,actress,7.4,87,Sonja Rut Valdin,5
13756,Mentor,2020,96,Comedy,2,actor,7.4,87,Þórhallur Þórhallsson,7
13769,One for the Road,2009,106,Drama,1,actor,6.6,526,François Cluzet,1
13770,One for the Road,2009,106,Drama,2,actress,6.6,526,Mélanie Thierry,1
13784,Hollow,2021,113,Horror,1,actress,8.3,48,Pat Garrett,3
13785,Hollow,2021,113,Horror,2,actor,8.3,48,Pete Bird,3
13828,After,2009,116,Drama,1,actress,5.5,568,Valeria Alonso,3
13829,After,2009,116,Drama,2,actor,5.5,568,Pablo Baena,3
13860,A Midsummer Night's Dream,2016,171,Comedy,2,actor,7.5,23,Ankur Bahl,6
13905,Seven,2019,113,Drama,1,actor,7.5,29,Kehinde Ajayi,3
13906,Seven,2019,113,Drama,2,actress,7.5,29,Ogunsanwo Anita,3
13923,Any Day Now,2020,82,Drama,1,actor,6.3,473,Aran-Sina Keshvari,7
13924,Any Day Now,2020,82,Drama,2,actor,6.3,473,Shahab Hosseini,7
13931,Mercy,2020,74,Drama,1,actor,5.8,58,Michael Ochotorena,7
13932,Mercy,2020,74,Drama,2,actress,5.8,58,Jessica Y. Martin,5
13985,The Vessel,2012,83,Horror,1,actor,4.2,65,Randy Barrett,0
13986,The Vessel,2012,83,Horror,2,actor,4.2,65,Dan Bertus,0
14019,Bad Blood,2021,72,Horror,1,actor,5.6,16,Tosca Bell,0
14020,Bad Blood,2021,72,Horror,2,actor,5.6,16,Laura Montgomery Bennett,0
14053,The Wretched,2008,92,Horror,1,actress,5.5,34,Lara Adkins,4
14054,The Wretched,2008,92,Horror,2,actor,5.5,34,Mark Booker,4
14055,Maneater,2009,92,Horror,1,actor,4.3,459,Dean Cain,4
14056,Maneater,2009,92,Horror,2,actress,4.3,459,Lacy Phillips,4
14087,Promises,2010,90,Drama,1,actor,6.3,15,Carlos Guerrero,7
14088,Promises,2010,90,Drama,2,actress,6.3,15,Carmen López,5
14115,Shameless,2008,88,Comedy,1,actor,5.7,627,Jirí Machácek,4
14116,Shameless,2008,88,Comedy,2,actress,5.7,627,Simona Babcáková,4
14127,Why?,2020,123,Horror,1,actor,4.3,13,Paul Coker,0
14128,Why?,2020,123,Horror,2,actor,4.3,13,Ian Davies,0
14141,Homeland,2008,93,Drama,1,actor,6.5,44,Max Rhyser,1
14142,Homeland,2008,93,Drama,2,actress,6.5,44,Yifat Sharabi,1
14163,All Alone,2011,90,Thriller,1,actress,4.3,236,Mandy Levin,4
14164,All Alone,2011,90,Thriller,2,actress,4.3,236,Suzy Cote,4
14192,Isolation,2021,104,Horror,1,actress,3.6,273,Alix Austin,0
14193,Isolation,2021,104,Horror,2,actor,3.6,273,Bob Ballou,0
14195,Hole in the Wall,2020,104,Drama,1,actor,6.3,119,Nicholas Campbell,7
14196,Hole in the Wall,2020,104,Drama,2,actress,6.3,119,Anna Davel,5
14205,Chlorine,2020,85,Drama,1,actor,6.7,56,Joel Dik,7
14206,Chlorine,2020,85,Drama,2,actor,6.7,56,Anna Dvorchak,7
14254,Father,2010,85,Drama,1,actor,5.9,145,Luís Pescador,7
14255,Father,2010,85,Drama,2,actor,5.9,145,Mikel Goneaga,7
14260,Bittersweet,2008,75,Drama,1,actress,4.5,153,Emma Kenney,4
14261,Bittersweet,2008,75,Drama,2,actor,4.5,153,Joshua Ormond,4
14278,Red,2020,91,Horror,1,actress,6.4,3097,Robyn Cusmano,5
14279,Red,2020,91,Horror,2,actress,6.4,3097,Kyla Faith,5
14312,The Last Mark,2022,85,Thriller,1,actress,4.1,144,Alexia Fast,0
14313,The Last Mark,2022,85,Thriller,2,actor,4.1,144,Shawn Doyle,0
14350,Sister,2021,127,Drama,1,actress,6.6,362,Zifeng Zhang,3
14351,Sister,2021,127,Drama,2,actor,6.6,362,Yaoyuan Jin,3
14352,Vagrant,2020,83,Drama,1,actor,7.4,26,Luke Oparah,7
14353,Vagrant,2020,83,Drama,2,actress,7.4,26,Ana Isabella Piñero,5
14400,March,2008,83,Drama,1,actor,5.5,67,Benno Eberhard,4
14401,March,2008,83,Drama,2,actor,5.5,67,Florian Eisner,4
14438,The Assistant,2020,84,Thriller,1,actor,5.2,19,Alex Jante,0
14439,The Assistant,2020,84,Thriller,2,actor,5.2,19,Lando King,0
14466,White Elephant,2020,79,Comedy,1,actress,3.4,38,Carmela Zumbado,0
14467,White Elephant,2020,79,Comedy,2,actress,3.4,38,Lana McKissack,0
14621,The Inheritance,2020,100,Drama,1,actress,6.8,91,Aurielle Akerele,5
14634,Metamorphosis,2008,95,Mystery,1,actor,4.6,20,Hovhannes Babakhanyan,4
14635,Metamorphosis,2008,95,Mystery,2,actor,4.6,20,Eddie DeLeon,4
14640,Blink,2008,70,Drama,1,actor,5.1,15,Sherwin Ordoñez,4
14641,Blink,2008,70,Drama,2,actor,5.1,15,Jojit Lorenzo,4
14734,The Institute,2022,89,Thriller,1,actress,4.6,103,Victorya Brandart,0
14735,The Institute,2022,89,Thriller,2,actor,4.6,103,Hamza Zaman,0
14843,Two Mothers,2017,80,Romance,1,actor,7.4,18,In-ho Song,7
14844,Two Mothers,2017,80,Romance,2,actor,7.4,18,Yoo-Chan Lee,7
14859,Secret Society,2021,94,Drama,1,actress,4.9,415,Reyna Love,5
14860,Secret Society,2021,94,Drama,2,actress,4.9,415,Erica Pinkett,5
14879,Two,2021,80,Drama,1,actor,7.1,17,Gil Desiano,7
14880,Two,2021,80,Drama,2,actor,7.1,17,Sobhi Hosari,7
14984,Nowheresville,2020,108,Thriller,1,actress,7.9,14,Andrea Jungert,3
14985,Nowheresville,2020,108,Thriller,2,actress,7.9,14,Barbara Ann Kaye,3
14995,Two,2007,79,Drama,1,actor,6.0,26,Dragan Micanovic,1
14996,Two,2007,79,Drama,2,actor,6.0,26,Dragan Jovanovic,1
15003,Schism,2008,96,Drama,1,actress,9.0,48,Ruth Thoma Andrews,1
15004,Schism,2008,96,Drama,2,actress,9.0,48,Karly Bender,1
15009,Halloween II,2009,105,Horror,1,actress,4.8,53405,Scout Taylor-Compton,4
15010,Halloween II,2009,105,Horror,2,actor,4.8,53405,Tyler Mane,4
15022,Stay,2021,82,Horror,1,actress,4.3,1235,Ashley Park,0
15023,Stay,2021,82,Horror,2,actor,4.3,1235,Jesse LeNoir,0
15074,The Ritual,2021,88,Comedy,1,actress,4.7,158,Anja Cilia,0
15075,The Ritual,2021,88,Comedy,2,actor,4.7,158,James Edwards,0
15124,The Truth,2010,96,Thriller,1,actor,4.7,1194,John Heard,4
15125,The Truth,2010,96,Thriller,2,actor,4.7,1194,Brendan Sexton III,4
15165,Lost in Love,2010,91,Drama,1,actor,7.3,12,Benedict Garrett,1
15166,Lost in Love,2010,91,Drama,2,actress,7.3,12,Sarika Choy,5
15167,Made in China,2009,87,Comedy,1,actress,6.0,255,Bronwyn Cornelius,5
15168,Made in China,2009,87,Comedy,2,actress,6.0,255,Deng Juan,5
15190,Plan B,2021,107,Comedy,1,actress,6.7,3192,Kuhoo Verma,5
15191,Plan B,2021,107,Comedy,2,actress,6.7,3192,Victoria Moroles,5
15212,Purgatory,2020,87,Drama,1,actress,5.0,44,Malgorzata Kozuchowska,5
15213,Purgatory,2020,87,Drama,2,actor,5.0,44,Philippe Tlokinski,7
15232,Home,2008,98,Drama,1,actress,6.9,4607,Isabelle Huppert,1
15233,Home,2008,98,Drama,2,actor,6.9,4607,Olivier Gourmet,1
15246,Morning,2010,95,Drama,1,actress,5.6,187,Jeanne Tripplehorn,5
15247,Morning,2010,95,Drama,2,actor,5.6,187,Leland Orser,7
15258,Nothing Personal,2009,85,Drama,1,actress,7.0,5026,Lotte Verbeek,1
15259,Nothing Personal,2009,85,Drama,2,actor,7.0,5026,Stephen Rea,1
15278,Death at a Funeral,2010,92,Comedy,1,actor,5.7,49446,Chris Rock,4
15279,Death at a Funeral,2010,92,Comedy,2,actor,5.7,49446,Martin Lawrence,4
15304,Karma,2020,118,Thriller,1,actor,5.7,7,Saheb Bhattacharjee,3
15305,Karma,2020,118,Thriller,2,actress,5.7,7,Saoli Chattopadhyay,3
15320,Rehearsal,2006,71,Thriller,1,actress,6.6,19,Gillian Croen,1
15321,Rehearsal,2006,71,Thriller,2,actor,6.6,19,Tyler Hanley,1
15336,The Family,2021,104,Thriller,1,actor,7.8,9,Nigel Bennett,7
15337,The Family,2021,104,Thriller,2,actress,7.8,9,Toni Ellwand,5
15346,Together,2009,100,Drama,1,actress,6.5,217,Catrin Larell Eide,1
15347,Together,2009,100,Drama,2,actor,6.5,217,Jonathan Espolin-Johnson,1
15377,Primal,2020,85,Drama,1,actor,3.8,23,Grady Greene,0
15378,Primal,2020,85,Drama,2,actress,3.8,23,Emily Heebner,0
15383,Little Deaths,2007,81,Comedy,1,actor,4.8,29,Simon Barbaro,4
15384,Little Deaths,2007,81,Comedy,2,actor,4.8,29,Peter Barron,4
15409,Tracks,2009,78,Drama,1,actress,6.6,8,Rebecca Rose Phillips,5
15410,Tracks,2009,78,Drama,2,actress,6.6,8,Amanda J. Hull,5
15415,X,2021,134,Drama,1,actor,7.7,13,Terence J Corbett,3
15416,X,2021,134,Drama,2,actress,7.7,13,Jennifer Hayden,3
15421,Bull,2021,88,Thriller,1,actor,6.6,237,Adam Xander Angelides,7
15422,Bull,2021,88,Thriller,2,actress,6.6,237,Ivy Amelia Angelides,5
15499,The Family,2021,102,Drama,1,actress,7.2,120,Mélanie Thierry,5
15500,The Family,2021,102,Drama,2,actor,7.2,120,Lyès Salem,7
15552,Trouble Sleeping,2008,107,Drama,1,actor,4.5,13,Wassim Abuglain,4
15553,Trouble Sleeping,2008,107,Drama,2,actress,4.5,13,Seham Ali,4
15568,Babysitter,2022,87,Comedy,1,actor,5.4,44,Patrick Hivon,0
15569,Babysitter,2022,87,Comedy,2,actress,5.4,44,Monia Chokri,0
15574,Motherland,2009,94,Drama,1,actress,4.7,16,Françoise Yip,4
15575,Motherland,2009,94,Drama,2,actor,4.7,16,Byron Mann,4
15594,The Snake,2008,80,Comedy,1,actor,5.1,155,Adam Goldstein,4
15595,The Snake,2008,80,Comedy,2,actress,5.1,155,Nina Braddock,4
15601,Strangers,2008,102,Drama,1,actor,4.8,197,Mark Adam,4
15602,Strangers,2008,102,Drama,2,actor,4.8,197,Viktor Bychkov,4
15639,War,2020,105,Drama,1,actress,5.8,20,Ana Alexandre,5
15640,War,2020,105,Drama,2,actor,5.8,20,Luís Barbosa,7
15658,Headless,2020,93,Drama,1,actress,6.3,6,Elham Korda,5
15659,Headless,2020,93,Drama,2,actor,6.3,6,Mehdi Koushki,7
15670,Bad Company,2010,87,Thriller,1,actress,5.1,17,Sonya Sier,4
15671,Bad Company,2010,87,Thriller,2,actor,5.1,17,Ceri Murphy,4
15672,Brothers,2008,116,Drama,1,actor,7.5,46,Baruch Brener,1
15673,Brothers,2008,116,Drama,2,actor,7.5,46,Micha Celektar,1
15676,Farewell,2010,90,Drama,1,actress,7.0,95,Olga Generalova,5
15677,Farewell,2010,90,Drama,2,actor,7.0,95,Vladimiras Jefremovas,1
15712,The Hollow,2007,107,Drama,1,actor,4.4,51,Sergey Anufriev,4
15713,The Hollow,2007,107,Drama,2,actor,4.4,51,Mikhail Evlanov,4
15728,Gully Gang,2020,98,Comedy,1,actor,8.4,53,Sameerdatta,7
15729,Gully Gang,2020,98,Comedy,2,actress,8.4,53,Shivanya Meharara,5
15737,The Unbroken,2009,202,Drama,1,actor,6.7,232,Ken Watanabe,6
