,primarytitle,startyear,runtimeminutes,genres,ordering,category,averagerating,numvotes,primaryname,y_pred
925,Angels Crest,2002,87,Thriller,2,actor,5.0,124,Currie Graham,4
1054,What Matters Most,2001,105,Drama,1,actor,6.2,210,Chad Allen,1
1055,What Matters Most,2001,105,Drama,2,actress,6.2,210,Polly Cole,1
1068,Stray Dogs,2002,97,Drama,1,actress,6.2,73,Guinevere Turner,1
1069,Stray Dogs,2002,97,Drama,2,actress,6.2,73,Dot-Marie Jones,1
1084,Wrong Number,2001,97,Thriller,1,actor,4.7,170,Eric Roberts,4
1085,Wrong Number,2001,97,Thriller,2,actress,4.7,170,Brigitte Bako,4
1098,Ritual,2000,128,Drama,1,actor,7.4,2053,Shunji Iwai,1
1099,Ritual,2000,128,Drama,2,actress,7.4,2053,Ayako Fujitani,1
1106,American Gun,2002,89,Drama,1,actor,6.2,1220,James Coburn,1
1107,American Gun,2002,89,Drama,2,actress,6.2,1220,Virginia Madsen,1
1122,Joshua,2002,91,Drama,1,actor,6.6,1880,Tony Goldwyn,1
1123,Joshua,2002,91,Drama,2,actor,6.6,1880,F. Murray Abraham,1
1134,Snapshots,2002,93,Romance,1,actor,6.1,398,Burt Reynolds,1
1135,Snapshots,2002,93,Romance,2,actress,6.1,398,Julie Christie,1
1152,Junk,2000,83,Horror,1,actress,5.4,1143,Kaori Shimamura,4
1153,Junk,2000,83,Horror,2,actor,5.4,1143,Yûji Kishimoto,4
1170,A Moment of Happiness,2001,84,Drama,1,actress,6.3,116,Isild Le Besco,1
1171,A Moment of Happiness,2001,84,Drama,2,actor,6.3,116,Malik Zidi,1
1200,Out of Bounds,2003,90,Drama,1,actress,4.4,339,Sophie Ward,4
1201,Out of Bounds,2003,90,Drama,2,actress,4.4,339,Sophia Myles,4
1210,Waiting for Godot,2001,120,Drama,1,actor,7.6,1432,Barry McGovern,1
1211,Waiting for Godot,2001,120,Drama,2,actor,7.6,1432,Johnny Murphy,1
1263,Distance,2001,132,Drama,1,actor,6.9,1571,Arata Iura,1
1264,Distance,2001,132,Drama,2,actor,6.9,1571,Yûsuke Iseya,1
1267,Hotel,2001,93,Comedy,1,actor,4.0,2051,Max Beesley,4
1268,Hotel,2001,93,Comedy,2,actress,4.0,2051,Saffron Burrows,4
1305,Lola,2001,97,Drama,1,actress,5.4,235,Sabrina Grdevich,1
1306,Lola,2001,97,Drama,2,actress,5.4,235,Joanna Going,1
1339,The Circle,2002,100,Thriller,1,actor,5.0,619,Treat Williams,4
1340,The Circle,2002,100,Thriller,2,actor,5.0,619,Robin Dunne,4
1351,Alive,2002,95,Drama,1,actress,6.2,184,Vahina Giocante,1
1352,Alive,2002,95,Drama,2,actor,6.2,184,Samuel Jouy,1
1355,Days,2001,83,Drama,1,actor,6.2,564,Thomas Trabacchi,1
1356,Days,2001,83,Drama,2,actor,6.2,564,Riccardo Salerno,1
1391,The Pretenders,2000,91,Drama,1,actor,7.5,12,Jonathan Sale,1
1392,The Pretenders,2000,91,Drama,2,actress,7.5,12,Beth Lynn Kelly,1
1440,The Wedding Video,2003,84,Comedy,1,actress,6.6,105,Heather B.,1
1441,The Wedding Video,2003,84,Comedy,2,actress,6.6,105,Lindsay Brien,1
1454,Phantom Love,2000,84,Drama,1,actress,4.5,149,Griffin Drew,4
1455,Phantom Love,2000,84,Drama,2,actress,4.5,149,Michelle von Flotow,4
1470,All or Nothing,2002,128,Drama,1,actor,7.5,10606,Timothy Spall,1
1471,All or Nothing,2002,128,Drama,2,actress,7.5,10606,Lesley Manville,1
1538,Strangers,2000,71,Drama,1,actor,6.8,38,Ramin Bahrani,1
1539,Strangers,2000,71,Drama,2,actor,6.8,38,Karim Kashani,1
1542,Dog Days,2001,121,Drama,1,actress,7.0,6162,Maria Hofstätter,1
1543,Dog Days,2001,121,Drama,2,actress,7.0,6162,Christine Jirku,1
1582,Solitude,2002,99,Drama,1,actor,7.1,153,Patrick Belton,1
1583,Solitude,2002,99,Drama,2,actress,7.1,153,Mary Thornton,1
1592,Dark Blood,2012,86,Thriller,1,actor,6.4,1305,River Phoenix,7
1593,Dark Blood,2012,86,Thriller,2,actress,6.4,1305,Judy Davis,5
1648,Promised Land,2002,100,Drama,1,actor,6.4,269,Nick Boraine,1
1649,Promised Land,2002,100,Drama,2,actress,6.4,269,Yvonne van den Bergh,1
1658,Take Away,2003,88,Comedy,1,actor,5.7,738,Vince Colosimo,4
1659,Take Away,2003,88,Comedy,2,actor,5.7,738,Stephen Curry,4
1720,The Uninvited,2001,102,Horror,1,actor,6.6,357,Winky Wiryawan,1
1721,The Uninvited,2001,102,Horror,2,actress,6.6,357,Melanie Ariyanto,1
1728,The Stonecutter,2007,80,Drama,1,actor,6.0,53,Teiki Pambrum,1
1729,The Stonecutter,2007,80,Drama,2,actress,6.0,53,Hereiti Biron,1
1740,Black and White,2002,99,Drama,1,actor,6.7,747,Robert Carlyle,1
1741,Black and White,2002,99,Drama,2,actor,6.7,747,Charles Dance,1
1754,Mind Games,2003,96,Mystery,1,actress,3.7,190,Kari Keegan,4
1755,Mind Games,2003,96,Mystery,2,actor,3.7,190,James Wilder,4
1772,Playing with Fire,2000,118,Drama,1,actor,7.3,46,Carlos Morales,1
